case_id,tutor_id,success
67,22,1
22,29,1
18,2,1
100,23,0
67,6,0
92,42,1
14,16,1
93,22,0
75,17,1
34,4,1
75,44,1
82,12,1
97,11,1
60,31,1
96,19,1
61,10,1
29,39,0
94,25,1
43,32,0
95,47,1
13,6,1
19,42,1
52,49,1
66,8,0
17,19,1
26,21,0
78,11,0
39,10,1
48,15,1
59,49,0
53,35,1
35,26,1
41,17,0
25,21,1
35,29,0
64,2,1
52,13,0
92,25,1
20,41,1
34,35,0
39,47,0
38,43,1
51,30,1
63,19,0
47,19,1
92,5,1
5,20,1
10,27,1
69,13,1
6,16,1
77,27,0
82,2,0
42,27,1
95,25,0
63,17,1
84,6,1
88,17,1
80,3,0
50,14,1
84,20,1
83,43,1
41,50,1
60,7,1
1,4,0
74,43,0
26,3,1
90,22,0
24,28,1
21,2,1
86,18,1
18,26,1
41,15,1
22,9,1
95,36,1
62,49,1
39,43,1
94,50,0
21,25,1
33,19,1
52,12,1
64,11,1
96,23,1
15,27,1
62,44,1
13,42,0
55,13,1
51,43,1
79,18,0
10,31,0
39,28,1
54,30,0
71,32,1
79,16,1
15,11,0
43,26,1
30,20,1
31,7,1
95,20,1
27,48,0
47,32,1
81,39,1
70,32,1
43,10,1
97,48,1
12,20,1
78,33,1
85,19,0
84,5,1
45,18,1
3,43,1
1,33,0
16,8,1
100,26,1
6,29,0
83,29,0
26,26,1
90,20,0
71,13,1
23,2,0
78,5,0
55,18,1
67,48,0
72,11,0
50,44,1
34,47,0
6,37,1
34,49,1
98,35,1
77,21,1
17,14,1
29,31,1
71,28,1
36,25,1
78,9,1
42,31,0
99,45,1
2,39,1
20,11,1
69,22,1
32,48,1
18,39,0
79,19,0
20,27,1
78,39,1
60,3,1
80,46,1
73,3,0
10,8,1
61,29,0
99,50,0
17,48,1
56,50,0
39,15,1
92,39,1
24,21,1
23,8,1
90,9,0
92,31,1
53,12,0
22,43,1
100,35,1
64,42,0
4,42,1
44,33,0
15,37,1
8,28,1
70,50,0
76,28,0
90,24,0
45,36,1
27,42,1
14,37,1
66,45,0
57,29,1
77,32,1
37,5,1
65,26,0
66,44,0
99,48,1
28,17,1
25,6,0
25,49,0
98,37,1
33,46,0
90,50,1
84,37,0
20,4,1
74,46,1
28,22,1
21,44,0
14,21,1
100,8,1
77,37,0
72,37,1
45,10,1
6,9,1
17,39,1
32,31,1
51,12,1
18,9,1
